Startup Name,Impact Statement,Description,Website,Primary SDG,Additional SDGs,Type of Innovation,Target(s),Indicator(s),Direct / Indirect Impact,Industry,Focus Area,Business Model,Customer,Location of Impact,Circular Value Chain,Maturity (new),Funded,Funding Round,Funding amount ($),Funding category,Last funding date,Country Cat. / Market,Country,City,Founded,Employees,Logo,Deadpooled,Investor,No Tracxn,Orange?,Source,Complete,Checked,Relevance,To Include,Hero,Comments,Year Score (0.4),Funding Score (0.6),Employee Score (0),Total Score,Maturity,0.4,0.6,0,Text to no.conversion,Logo,Seeking funding,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,,
Wholi,,"The Pitch<br>Wholi is a Copenhagen-based green and social startup with a vision to create a more sustainable and globally responsible food culture. 
 <br>
 <br>We do this by developing delicious and nutritious foods with insects, which we sell to western consumers; sharing knowledge about insects as a source of food; and supporting small-holder insect farmers in developing countries, presently cricket farmers in Cambodia.
 <br>
 <br>Presently, we sell our products in more than 250 stores and fitness centres in DK,DE and UK.<br><br>The What<br>A sustainable and responsible food culture<br><br>The How<br>In the next 35 years, the global demand for food will increase 70%, according to the UN. The food industry is already having a significant impact on global warming and our consumption of meat is particularly troublesome for the climate. 
 <br> There is a need for attractive and tasty alternatives to meat that can provide high quality protein as well as other essential nutrients, while having a dramatically smaller CO2-footprint. 
 <br> Insects are a part of the solution, as they have an exceptional nutritional profile that can be compared to getting all the benefits from eating meat, fish and rye bread at once. Also, insects reproduce quickly, they can be farmed vertically, they require less land, 12 times less feed and 2000 times less water compared to producing beef; the equivalent of emitting 100 times less CO2. 
 <br>
 <br>The solution
 <br>The most important factor for creating this solution, however, is one of culture and habits. Wholi changes people&rsquo;s understanding of insects by creating wholesome and delicious foods presented in the most appetizing, so that people cannot resist trying. 
 <br> We started this company based on a vision for change and an urge to create a solution that can help solve issues related to climate change and malnutrition. The two founders have complimentary backgrounds from agricultural development (specialized in edible insects) and business development. We are passionate about building a sustainable company that can take advantage of the growing need for innovative alternatives in order to create impact and financial growth. We are inspired by the rich cultures around the world that for centuries have embraced eating insects, and support smallholder cricket farmers in Cambodia through knowledge sharing. This also gives us direct access to primary production.
 <br> Presently, we sell &quot;Dare Squares&quot;, sold as a gift, and &quot;Buff Bars&quot;, protein bars for the fitness market. We are developing a meat-replacement product with Teknologisk Institut.<br><br>The Why<br>Our mission is to create delicious and nutritious foods based on insects and inspire change.",http://wholifoods.com,,,,,,Indirect,,,B2B,,Growth and expansion,,,,,,,,Developed markets,,,2017,1-10,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Looking for funding,,  ,TRUE,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,
Beleco,,"The Pitch<br>We let people create the home of their dreams, change style, and move around super easy. Beleco offers design on-demand where you could stream furniture per day, week or per month with the possibility to buy the piece anytime by just paying the difference. 
 <br>
 <br>Since we deliver, assemble and remove users&apos; old furniture &ndash; as well as taking care of returns &ndash; users&apos; do not have to do anything enabling them to focus on living the life that they wish to live. We are a conscious choice for a modern user.<br><br>The What<br>We create freedom, letting the gig-economy unwrap.<br><br>The How<br>By enabling people to live a life adapted to where they are in the present moment, and who they are right then &ndash; we create freedom.
 <br>
 <br>Think of the furniture being in the cloud, and as-a-service. By doing this we change a behavior where furniture is bought and then thrown away. We let the furniture go around in circles to different groups at a time &ndash; prolonging the life of the piece. 
 <br>
 <br>First, you choose furniture from thousands of new furniture at Beleco.com, and you stream them for 5% of the selling price per month. The minimum time is 6 month, with the possibility to buy the piece anytime by just paying the difference. If you wish to return, we pick it up and the return is included in the price. 
 <br>
 <br>Furniture that comes back to us goes into BelecoMarket.com where you could stream them for 1 day to 6 weeks. Here we work with stylists that are giggers and you can i. e. book them to do a homestyling before selling your home. People and companies that also need furniture for i. e. events or happenings can book furniture and get them delivered directly.
 <br>
 <br>We use Stockholm as a test-city, soon we will open in other European cities as well. By creating this closed circuit of furniture we create a better environment where you could live the life you wish to live at the moment, and change furniture all the time but creating a better environment doing it. We are the conscious choice for the modern user.
 <br>
 <br>Today we work with some of the biggest real estate developers in Sweden which bundle our service when you buy or rent an apartment. We also work with top brands such as Hay, Flos, and Menu giving our users premium furniture to choose from and furniture that are built to last for years to come.
 <br>
 <br>Looking at the future Beleco Market will soon launch new features where any user can stream their own furniture to companies or people that wish to stream per day or per month for i. e. their apartment when renting it out with Airbnb. Think of it as a Airbnb for furniture...<br><br>The Why<br>We challenge the era of ownership letting aware people express themselves in a sustainable way again and again and again.",http://beleco.com,SDG 12: Responsible Consumption and Production,,,,,Indirect,,,B2B,,Go to market,,,,,,,,Developed markets,,,2016,1-10,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Already funded,,  ,TRUE,  ,  ,  ,  ,  ,  ,  ,  ,TRUE,TRUE,  ,  ,  ,  ,SDG 12: Responsible Consumption and Production,
Skhole,,"The Pitch<br>Skhole is an e-learning company from Finland. We gather the best healthcare education in the world and let you carry it around in your pocket. Through our own e-learning service we make high-quality healthcare education equally accessible and affordable to everyone &ndash; whether they&rsquo;re a community nurse working from the outbacks or a nursing student studying for their exams in an urban area.<br><br>The What<br>Democratize access to healthcare education<br><br>The How<br>Skhole Brings EaaS Model to Tackle the Developing Market Needs
 <br>Skhole has the ambition to be Spotify for digital learning services - a service where single user can with a monthly fee utilize any digital training content, whenever and where-ever they want to. Skhole is offering EaaS (Education-as-a-Service) -based model to the students and learning institutions in the healthcare sector, which provides not only the learning environment but also tools and services for content curation as well as ready content.
 <br>
 <br>Skhole learning environment has been developed jointly with learning institutions and pedagogic experts, and engaging large number of students and end users to provide systematic feedback. Skhole environment provides capabilities for video, audio and textbook based learning methods, and can be access through any device whether it is computed, tablet or a mobile phone. Skhole provides also extensive user-specific learning path development, supported by monitoring and analytics to follow the progress on the individual path. Tests can be individual or group activities. 
 <br>Skhole platform is built on APIs and it provides easy integration to external systems, such as ERPs and student registry systems as well as payment system to support possible micropayments and operator billing for the training content. Skhole has fully open documented REST API available on Swagger. Utilization of AI is also currently being developed for intelligent content creation and automation.<br><br>The Why<br>Democratize access to healthcare education by utilizing existing technology to share and refine existing knowledge.",https://www.skhole.fi/,,,,,,Indirect,,,B2B,,Growth and expansion,,,,,,,,Developed and emerging markets,,,2014,1-10,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Looking for funding,,  ,  ,  ,  ,  ,  ,  ,  ,  ,TRUE,TRUE,TRUE,  ,  ,  ,  ,SDG 11: Sustainable Cities and Communities,
Work Ahead,,"The Pitch<br>We help companies talk directly with workers in emerging markets about topics like human rights, decent work and progress towards sustainable development. We save the results in a blockchain that brands can use to show how their products are made.<br><br>The What<br>Change poverty &amp; inequality in supply chains<br><br>The How<br>We make technology that companies use to talk directly with workers in emerging markets about human rights, decent work and progress towards sustainable development. Our technology helps companies align their suppliers behind common goals, support suppliers in improving working conditions, and share their work transparently with consumers. 
 <br>
 <br>Most people in the world are poor or low-income. Yet, most of them work in our supply chains - collecting cotton made into t-shirts we wear or harvesting coffee that we drink. Decent work is one of the best routes out of poverty. By creating scalable, market-based mechanisms for brands to ensure their suppliers respect human rights and advance decent work, we can help people lift themselves out of poverty.<br><br>The Why<br>Most people are poor, yet work in our supply chains. We make scalable technology to reduce poverty and inequality.",http://www.workahead.co,,,,,,Direct,,,B2B,,Go to market,,,,Seed,,,,Developed and emerging markets,Finland,,2016,1-10,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Looking for funding,,  ,TRUE,TRUE,  ,  ,  ,  ,  ,TRUE,  ,  ,  ,  ,  ,  ,  ,SDG 10: Reduced Inequalities,
Meili,,"The Pitch<br>Meili is establishing a delivery service utilising robots and autonomous vehicles.<br><br>The What<br>Through using robots and autonomous vehicles to provide delivery services, a sustainable and clean alternative for one-off or frequent delivery routes can be established. This is achieved by running on electric power and clever route planning, reducing pollution in urban areas and traffic congestion.<br><br>The How<br>There are many solutions we intend to provide to tackle the current impact delivery services has in urban environments.
 <br>The most popular of our intentions is to conduct the delivery from a produce supplier to their clients (shops or restaurants), where the robot can travel the shortest direct route.
 <br>Our second most popular is the option to carry out on-demand deliveries to the recipients at their own convenience rather than a wide timeframe during working hours, reducing the number of rescheduling and missed deliveries. Robots are not limited to only being able to operate during the day, allowing them to be able to carry out the service after hours.<br><br>The Why<br>Our ambition is to provide the future with a clean and efficient delivery service, where seeing robots in public will be normal.
 <br>To be able to claim that we contributed to this exciting future brings us joy, and to know the positive effects it will bring to society in cost, convenience, and environmental factors.",https://www.meilirobots.com/,,,,,,Indirect,,,B2B,,Idea,,,,,,,,Developed and emerging markets,,,2018,,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Looking for funding,,  ,  ,  ,  ,  ,  ,TRUE,  ,TRUE,  ,  ,  ,  ,  ,  ,  ,SDG 10: Reduced Inequalities,
Aguardio ApS,,"The Pitch<br>Aguardio is a simple data-driven IoT solution which helps people live more sustainable by changing their shower behaviour.<br><br>The What<br>In recent years high level of CO2 emissions, leading to climate change and water shortage, has become worldwide challenges. Water shortage is caused both by draught due to increasingly volatile weather conditions, increasing urbanization and wealth leading to higher demand for water. In Cape Town during Spring 2018, the city was close to running dry &ndash; only by appealing heavily to the inhabitants and due to rain Cape Town managed to postpone the water crises. Also, due to the lack of water in summer 2018, UK officials urged the citizens to shower no longer than 4 minutes. These examples emphasize the importance to act. Desalting of seawater is one of the actions carried out to try and solve the issue of water shortage. However, this process is both costly as well as energy intensive, leading to potential higher CO2 emissions. Also, water cleaning is a solution but still being experimental technology and not yet proven to be full scale functional.<br><br><br>The How<br>Aguardio is a physical device designed to guide people in a more sustainable direction. Installed in the bathroom, Aguardio facilitates changes in shower behaviour with the aim to reduce water and energy consumption. Aguardio consists of two devices: a sensor placed at the ceiling in the shower cabinet, and a display placed on the wall in the shower cabinet. The sensor collects data on shower behaviour via different individual sensors, e.g movement, acoustic, humidity, temperature etc which are uploaded to a cloud for further analysis. As soon as a shower starts, the wall-mounted display is activated, illustrating shower time. This means, that the display timer stops if water is turned off e.g. while shampooing, and the total bath length is shown when the user leaves the shower cabinet. Pilot test shows​ that Aguardio can reduce the shower time by 20 percent per shower.<br><br>The Why<br>Climate change and water shortage have become worldwide challenges, which needs to be addressed. Research shows, that in order to address water shortage efficiently change in human behaviour is needed. We have therefore established Aguardio ApS with a simple mission: to reduce water &amp; energy consumption by supporting, improving and developing sustainable human behave. Aguardio is unique compared to other water saving products on the market, because it provides the user with a direct and instant nudging effect while showering and at the same time collects data concerning the shower behaviour via Aguardio Sensor. The collected data creates a foundation for water and energy savings goals which makes Aguardio a solution adapted to individual needs, whereas other products are universal solution without the possibility of user influence.",http://www.aguardio.com,,,,,,Indirect,,,B2B,,Growth and expansion,,,,,,,,Developed and emerging markets,,,2017,,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Looking for funding,,  ,  ,  ,  ,  ,  ,  ,TRUE,  ,TRUE,  ,  ,  ,  ,  ,  ,SDG 11: Sustainable Cities and Communities,
Target Aid AB,,"The Pitch<br>The Target Aid digital platform connects non-profit organisations with grass root philanthropists so that passionate donors can find and support a specific project and follow the effect of their actions.
 <br>With advanced technology, amazing user experience and innovative features Target Aid creates a transparent and collaborative way to connect people, passions, and projects giving charities access to new audiences, fundraising in a smart and cost-efficient way.<br><br>The What<br>Re-invent fundraising<br><br>The How<br>There is a never ending need of help in our world. Future donors expect more participation and transparency. Today there are several barriers that need to be lifted to get more people to give, and active donors to give a little more.
 <br>
 <br>We believe in the power of people and the ability of digitalization to accomplish exponential improvement. (Philanthropy = love of humans)
 <br>
 <br>Target Aid aims to be the go-to place for modern philathropy. People meet, communicate and engage online. We use digital platforms and market places. 
 <br>Charity must be online too, closing the generation gap. Ready for the Millennials supporting particular projects in areas of interest instead of entire organizations. Rewarding transparency and trust. 
 <br>
 <br>Target Aid for donors:
 <br>Find a variety of projects across organizations. Fight poverty today, save the planet tomorrow! Support what you are passionate about. You decide when, how much and how often. Follow your engagements in one place. You decide what information you want and from whom. Share! Raise awareness through your online communities. See the effect at Target Aid.
 <br>
 <br>Target Aid for organizations:
 <br>Gives you free access to new audiences. No effort is required to find them, Target Aid does it for you. Diversify! Place your projects in multiple categories and customize your offers, so more people can find them.
 <br>
 <br>Product use cases:
 <br>Increase giving by efficiently bringing people, passions and projects together.
 <br>Recruitment of donors, members, ambassadors and volunteers.
 <br>New partnerships and partnerships across project and organizational boundaries. Create and manage communities within donor groups.
 <br>Data collection and a deeper understanding of donor behaviors, applicable for thought leadership within charity and further long-term development of the entire charity industry.
 <br>This arena can be technologically equipped to increase control of how donated funds are used - for example by using blockchain technology.<br><br>The Why<br>By bringing people, passions and projects together in a collaborative way, we can change the world by the power of the people.",https://www.targetaid.com/,,,,,,Indirect,,,B2B,,Growth and expansion,,,,,,,,Developed markets,,,2016,1-10,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Looking for funding,,  ,  ,  ,  ,TRUE,  ,  ,  ,  ,  ,TRUE,TRUE,  ,  ,  ,  ,SDG 6: Clean Water and Sanitation,
Huoleti Ltd,,"The Pitch<br>Huoleti empowers patients to cope throughout the treatement of severe illnesses. With Huoleti , you are never alone. You can easily invite your loved ones and friends to be beside you on your journey. Huoleti helps you find peers to share and network with, and you can grow stronger together. We support your loved ones by helping them build their own peer networks. Huoleti is there for you whether you are asking for, giving, or receiving help.<br><br>The What<br>Help with everyday tasks.<br><br>The How<br>Huoleti is a Mobile App that empowers patients to continue their life.<br>You can create personalized peer support network to share and learn. <br><br>You can invite your loved ones to your support network - and you don&rsquo;t need to think whom to call - just &rdquo;yell&rdquo; your need to your network through the App and the ones who can help accepts your request. At the end, you decide who comes to your home.<br><br>The Why<br>Huoleti is about communities and empowerment. It&rsquo;s a mobile app for ill, troubled or worried and their loved ones to find others, to ask for",https://www.huoleti.com/,,,,,,Indirect,,,B2B,,Growth and expansion,,,,,,,,Developed and emerging markets,,,2017,1-10,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Already funded,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,
Myrspoven,,The Pitch<br>Myrspoven provides a unique cloud-based service which continuously collects operational data from your buildings. The data is then with the help of a modern AI turned into a digital twin that is used for providing 24/7 autonomous optimizastwhich enables new ways of optimizing energy consumption.<br><br>The What<br>Efficient buildings<br><br>The How<br>Myrspoven is a company whose foundation is based on letting the real estate industry take part of the enormous leaps in technology that have taken place in the IT sector over the past years. This has resulted in a one size fits all service that can connect to any building and fully autonomously optimize it without having to worry about tenant comfort. Myrspoven is running full-scale pilots together with the leading Swedish real estate owners and major global BMS providers. Myrspoven has also been awarded multiple grants for its innovative work.<br><br>The Why<br>We want the real estate industry to globally reduce its impact on non-renewables kilowatt hours with 1%.,http://www.myrspoven.se/en/home/,,,,,,Indirect,,,B2B,,Product or prototype,,,,,,,,Developed markets,,,2017,1-10,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Looking for funding,,  ,TRUE,  ,  ,  ,  ,  ,TRUE,  ,  ,  ,  ,  ,  ,  ,  ,SDG 3: Good Health and Well-being,
Kliffa Innovations,,"The Pitch<br>Kliffa Innovations provides effective solutions to enhance the space use in the cities. Kliffa (kliffa.fi) is a booking platform for affordable everyday urban spaces such as saunas, laundry rooms, clubrooms, yoga studios, popup spaces and office spaces. Kliffa is easy to use since real-time booking calendar and integrated payment and smart locking solutions guarantee a flexible and quick customer journey.<br><br>The What<br>We want to chance the way we use urban space-<br><br>The How<br>Citizens need different kind of spaces to develop and test their ideas in their community. But finding affordable &amp; easy-to-use everyday spaces in cities is hard although there is lot of empty and inefficiently used space everywhere. There was a need for a service which makes it easy and cost-effective for property owners to rent out their spaces short term for citizens. We saw this problem as a business opportunity and created Kliffa!
 <br>
 <br>Kliffa is a flexible booking platform for urban spaces. Kliffa provides a modern way for property owners to rent out their spaces short term, since the platform includes a real-time booking calendar, integrated payment and smart locking solutions. We also offer three different service options: it is possible to have an internal booking service and/or rent out the space for a larger user group.
 <br>
 <br>We understand the wants &amp; needs of the future consumers and we are continuously evolving our business towards that direction.<br><br>The Why<br>We want to chance the way we use urban space. In order to achieve more sustainable cities, we need to start sharing spaces.",https://kliffa.fi/,,,,,,Indirect,,,B2B,,Go to market,,,,,,,,Developed and emerging markets,,,2015,1-10,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Looking for funding,,  ,  ,  ,  ,  ,TRUE,  ,TRUE,  ,  ,  ,TRUE,  ,  ,  ,  ,SDG 9: Industry Innovation and Infrastructure,
Minduu,,"The Pitch<br>Minduu is a web application that helps people suffering from mental health problems to schedule an appointment with the right psychotherapist.
 <br>In addition our professional SaaS, MinduuPro, provides all the necessary tools for psychotherapists to handle their clients: from CRM, patient notes and invoicing, to messaging, outcome measurement and video meetings.<br><br>The What<br>Create a compassionate world.<br><br>The How<br>Patient Problem<br>Finding information about mental health professionals is hard, and it is even harder to find one that has available appointments and suits your specific needs and personality. What makes matters worse, is that most professionals work as independent practitioners causing the market to be extremely scattered.<br><br>Therapist Problem<br>As therapists work mostly as private practitioners, they have to handle everything themselves from customer acquisition to invoicing and making patient notes. This can be very time consuming, costly and burdensome. Until now there has not been online solutions at the market designed especially for psychotherapists.<br><br>Solution for Patients<br>With Minduu the process of finding a mental health professional that matches your needs is made easy and simple. Minduu offers relevant information about the professionals displayed in a way that is useful for the customer and makes it effortless to book a time online. <br><br>Solution for Therapists<br>For professionals Minduu is a new sales and marketing channel, but also provides CRM, patient notes, invoicing, messaging and video meetings. It&rsquo;s a one-stop shop for mental health professionals. <br>Minduu takes care of the business and let&rsquo;s professionals concentrate on their clients.<br><br>Target Market<br>- Private psychotherapists and psychologists<br>- Psychotherapy companies<br>- Public sector<br><br>Pilot Projects in the Public Sector<br>Pilot projects started where patients are referred into therapy via dedicated search platform. <br>Partners include Hospital District of Helsinki and Uusimaa, City of Tampere and The Hospital District of Southwest Finland.<br><br>The Why<br>Our mission is to make it easy and fast to get help for mental health issues regardless of place, time or income level.",https://minduu.fi/fi/,,,,,,Indirect,,,B2B,,Growth and expansion,,,,,,,,Developed markets,,,,1-10,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Currently not looking for funding,,  ,TRUE,  ,  ,  ,  ,  ,TRUE,  ,TRUE,  ,  ,  ,  ,  ,  ,SDG 11: Sustainable Cities and Communities,
Everfells,,"We&apos;re building a platform that connects people to outdoor experiences in national parks, wilderness areas, and private land. Unlike existing tour and activity platforms, we&apos;re focused on creating an amazing end-to-end experience for independent adventure travel &ndash; including rentals, accommodation, and transportation.<br><br>The goal is to build the best place to set out on adventures while empowering people to explore the planet in a measurably better way. We&apos;re working towards reducing and removing the climate emissions caused by travel through absolute transparency, rewards for avoiding emissions, and compensating unavoidable emissions by investing in the best methods for carbon removal.<br><br>If our mission resonates, we&apos;d love to hear from you. Just drop us a line at hello@everfells.com.",https://everfells.com,,,,,,Indirect,,,Marketplace,,Product or prototype,,,,Pre-seed,,,,Developed markets,Finland,,2016,1-10,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Looking for funding,,  ,TRUE,  ,  ,  ,  ,  ,  ,TRUE,  ,  ,  ,  ,  ,  ,  ,SDG 10: Reduced Inequalities,
LocalLife,,"The Pitch<br>LocalLife &auml;r ett socialt grannskapsn&auml;tverk som underl&auml;ttar din lokala vardag och &ouml;kar tryggheten och trivseln i grannskapet. Genom att anv&auml;nda sig av n&auml;tverket kan grannar kommunicera enklare, hj&auml;lp varandra, k&ouml;pa, s&auml;lja, dela saker och tj&auml;nster, samarbeta om projekt samt ta del av lokal information och rekommendationer.<br><br>The What<br>&Ouml;ka f&ouml;rtroendet bland grannar<br><br>The How<br>LocalLife &auml;r fr&aring;n b&ouml;rjan ett forskningsprojekt fr&aring;n KTH om h&aring;llbara st&auml;der som har utvecklats till att bli ett digitalt socialt grannskapsn&auml;tverk. <br><br>Vi vill ta tillvara p&aring; digitaliseringens m&ouml;jligheter f&ouml;r att &ouml;ka f&ouml;rtroendet och f&aring; m&auml;nniskor att samarbeta mer p&aring; lokalniv&aring; och p&aring; s&aring; s&auml;tt &ouml;ka den ekonomiska, sociala och ekologiska h&aring;llbarheten i v&aring;ra grannskap. Oavsett om det g&auml;ller f&ouml;r&auml;ndrande beteende och &ouml;kad delningsekonomi f&ouml;r att klara klimatf&ouml;r&auml;ndringarna eller att minska det sociala utanf&ouml;rskapet och f&ouml;rb&auml;ttra integrationen i samh&auml;llet s&aring; beh&ouml;ver m&auml;nniskor kunna lita p&aring; varandra och ha effektiva verktyg f&ouml;r f&ouml;r&auml;ndring. <br><br>Vi &auml;r ett team p&aring; 6 personer med gedigen erfarenhet fr&aring;n bland annat Avanza Bank, King och KTH. Vi har blivit invalda till Sting, f&aring;tt st&ouml;d av Vinnova, blivit utvalda att representera Stockholm stad som &rdquo;Prop-techbolag&rdquo; p&aring; den stora fastighetsm&auml;ssan Mipim. Tj&auml;nsten lanserades i delar av Stockholm i v&aring;ras och vi st&aring;r nu inf&ouml;r en kraftig expansion till resten av Sverige.<br><br>The Why<br>&quot;N&auml;r grannar b&ouml;rjar tala med varandra h&auml;nder bra saker. Tillsammans kan vi skapa trevligare, tryggare och mer h&aring;llbara grannskap.&quot;",http://www.locallife.se,,,,,,Indirect,,,B2B,,Growth and expansion,,,,,,,,Developed markets,,,2015,1-10,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Looking for funding,,  ,TRUE,  ,  ,  ,  ,  ,  ,  ,  ,  ,TRUE,  ,TRUE,  ,  ,SDG 15: Life on Land,
Sansox Oy,,"The Pitch<br>Our customers can reduce their costs in the water treatment and to reuse water in their processes by using technology provided by SansOx. SansOx will enable recirculate the water for different usage &quot;fit to use&quot;.<br><br>The What<br>Recirculate the water.<br><br>The How<br>We are simply running out of fresh water supplies thanks to climate change. We humans have an impact as well by polluting water reservoirs or in excess use of water beds. Global resupply of fresh water is broken as rain falls are getting intencive, fall in &apos;wrong&apos; place or simple no rain. 
 <br>
 <br>Providing drinking water is not enough as we use only 10% for domestic use. 20% of fresh water is used in manufacturing etc. lead by food business and followed closely by forestry. 95% of world trade is depending in fresh water supply. 
 <br>
 <br>BUT 70% goes to irrigation, which means that if we run out irrigation water we will starve. 
 <br>
 <br>We must start to use fresh water in multistage ways before it gets salty again as desalination is the most expensive method (we do not better yet) to desalinate the water as well using a lot of energy. As long we can recirculate the water as fresh we are saving energy and water and it will enable us to use waste (used?) water as raw material source. In the end of the cycle the water must be stored as ground water or minimum for irrigation.<br><br>The Why<br>Sansox Oy is the provider of a multi patented water solutions.
 <br>The company develops, sell and delivers solutions to global water market.",http://www.sansox.fi,,,,,,Indirect,,,B2B,,Go to market,,,,,,,,Developed and emerging markets,,,2012,1-10,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Looking for funding,,  ,TRUE,  ,  ,  ,  ,  ,  ,  ,TRUE,  ,  ,  ,  ,  ,  ,SDG 11: Sustainable Cities and Communities,
BEVAR,,"The Pitch<br>BEVAR creates solutions for extending clothing life and making smarter loops. BEVAR strives to combine
 <br>this important environmental impact with a social impact by creating meaningful jobs for fellow citizens.<br><br>The What<br>Clothing consumption &ndash; let&rsquo;s rethink and react<br><br>The How<br>Nature is asking that we (need to) change our consumerism. BEVAR is looking specifically into our habits about clothes. Consumption of clothes has increased rapidly in Western societies, resulting in a massive textile material stream which creates environmental problems. The textile industry is the second worst industry when it comes to causing environmental problems, only preceded by the oil and gas production. These
 <br>problems are in large part due to the habits of the consumer. A piece of clothing is only used for at the very short time and is usually thrown out way before the actual end of its lifetime. BEVAR has been working for at a couple of years trying to expand the time of use. We have been concentrating on the challenge concerning the waste of jeans. They are causing tremendous problems because of an extreme use of water, chemicals and transportation in producing them.
 <br>Out of wasted jeans, BEVAR has been creating new products. E.g. pillows, aprons and potholders. Employed and involved in the upcycling-process has been &ldquo;fleksjobvisiterede&rdquo; (fellow citizens that for different reasons are not able to work full time, and will have a contract that e.g. gives them a salary for 4 hours work every week in addition to governmental support). The actual workplace is situated in a socially and economically challenged area in Denmark.
 <br>BEVAR is a social enterprise, registered as such in Denmark.<br><br>The Why<br>BEVAR will act on better solutions for clothing life issues with respect for people, environment and
 <br>relationships.
 <br>
 <br>",https://bevar.dk/,,,,,,Indirect,,,B2B,,Idea,,,,,,,,Developed and emerging markets,,,,1-10,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Looking for funding,,  ,  ,  ,  ,TRUE,  ,  ,TRUE,  ,  ,  ,  ,  ,TRUE,  ,  ,SDG 6: Clean Water and Sanitation,
TAUKOdesign Oy,,"The Pitch<br>TAUKO is a sustainable nordic fashion house based in Helsinki, Finland. Our extended lifecycle concept for fashion help value-based, nature-loving women who want to help create a more sustainable world by reducing textile waste/depletion of natural resources and increasing the lifecycle and longevity of a garment.<br><br>The What<br>On top of the consumer textiles, we are troubled by the BtoB textile waste flows that are an unseen possibility for local fashion industry for high quality, scalable material source.<br><br>The How<br>TAUKO was founded in 2008 by us, lifelong best friends Mila Moisio and Kaisa Rissanen. We both graduated from university to become art researchers, but the thrive to work for something that has more immediate effect on our environment and culture pushed us to create our own sustainable fashion brand. <br><br>Our mission was always to create carefully designed products that live up to our own expectations. During the first years we gathered a lot of information about how textiles are recycled within textile rental companies, why are the textiles discarded in the first place and what kind of qualities these textiles have. In 2013 we released the first collection based on the reuse of rental textiles. <br><br>The company, TAUKOdesign oy was established in 2014. Today we present two full womenswear collections annually. They reflect our passion for contempo&shy;rary art and design and respect for sustainable values.<br><br>Our unique TAUKO recycling concept is based on local, discarded rental textiles as the raw materials of the production. Working closely together with local producers and research groups, we constantly develop new methods to prepare recycled materials for our collections. These materials are mostly textiles that have been used in Finnish and German restaurants and hotels. In addition to discarded textiles, we also utilize surplus knits and yarns, and organic wool for our collections. We show our respect to the skilful people working for our production and visit them regularly in Finland and Estonia.<br><br>TAUKO stands for a break or a pause in Finnish. It describes the silent and still movement that is almost impossible to notice.<br><br>The Why<br>We want to show how to create a high quality fashion brand based on reuse of waste textiles.",https://taukodesign.com/,,,,,,Indirect,,,B2B,,Growth and expansion,,,,Bootstrapping,,,,Emerging markets,Finland,,2014,1-10,,,,,,The Hub,FALSE,FALSE,,FALSE,FALSE,,,,,,,,,,,,Looking for funding,,  ,  ,  ,  ,  ,  ,TRUE,  ,  ,  ,TRUE,TRUE,  ,  ,  ,  ,SDG 8: Decent Work and Economic Growth,
